A mu sigma m b NIV_flux
2.388795953974399 1496.3143553859181 11.752032941415564 -0.002296969451255605 5.6824316541088855 70.36909879087996
11.848557455256223 1496.2529447355387 3.546723144036436 -0.002223773651601422 5.733308157460094 105.33742602492977
2.479250613263729 1495.7727664554359 15.951501940706041 -0.0016934229037537287 5.352172175800838 99.1315609094588
2.02801667064248 1492.6177544380248 15.734834142896112 -0.0012577657304628578 5.40197984405988 79.98777647603077
2.490123241416719 1494.671646132208 18.46736160678283 0.00012143715080075584 5.364366900882389 115.2698237409774
2.7707984374729464 1495.6196203091408 10.996550334440466 -0.003409827187743188 5.600126789175759 76.37501959832589
2.9331044507694592 1496.4135193570103 14.012608652139594 -0.0015645370670680624 5.631229433540983 103.02353704682356
2.971139066432815 1494.6380068605965 11.021753858381995 -0.0007398057089141504 5.379811403849376 82.08496586597381
2.395613056463828 1496.2449981547418 13.331808426401658 -0.0020503670825600673 5.370511715431923 80.05632870104682
2.0173601778955863 1495.20101570032 15.931006138159173 -0.0016414200743902307 5.328929132863299 80.55946675943513
7.6894635354105505 1495.9797416329197 4.934668510783892 -0.0008554680193221261 5.252282157764566 95.11389350567103
6.150931676595056 1496.2649400593714 5.186606457109782 -0.0009963075824157713 5.797148549063518 79.96761315688927
2.638291947409378 1494.9408717425727 8.328543472917564 -0.0016789899722118788 5.735075414205554 55.07846688031423
1.6688682140644293 1493.588119635167 15.099751915455116 -0.003985221413110845 5.8414387670394845 63.165769210033886
3.0533510136082356 1490.3399059606536 74.51050300661807 0.005561929581604237 3.752633420294195 570.2747767190527
2.5072770206433956 1493.6651063367715 12.502210215058293 -0.0016254291352824006 5.743960160307785 78.57403418842092
2.221476442269443 1493.8474645892697 23.09878085195715 0.0008312488150307399 5.470710104767005 128.62361306034944
2.7523991987460903 1493.1550390221555 12.22553621848861 -0.002541367408004318 5.631525521817895 84.34692872901248
2.243843564793224 1493.6898143218575 12.751830223842047 -0.0034051368279218747 5.848652574314305 71.72243603338303
7.536655283845947 1496.3456854177125 4.367779253262288 -0.0031376500765664668 5.654473870003387 82.51430897383949
2.8506458006464697 1494.8000357287492 13.144103189245769 5.8082015606299555e-05 5.214423485671419 93.92131243142299
14.598146991076664 1496.2711647628066 3.7634377181701177 -0.0021502575457720417 5.617911041395683 137.7121947223226
1.1655053794620258 1491.1711716637747 10.73754831419715 -0.001941727689478784 6.148515498786401 31.369626477888957
8.198013197747708 1495.602914287134 5.022809649065479 -0.0033433979962295478 5.557795998269561 103.21558234283721
1.714671989888004 1492.6742591013785 10.782786809522852 -0.0008808265889464758 5.731775822996798 46.34490607668435
2.06331448828314 1493.036782472023 12.024521831907686 -0.002180851147755799 5.724555434897075 62.19037522291896
2.777936302505375 1495.673916407194 12.83405857347607 -0.0003297526270487896 5.399394400201773 89.36680560371981
6.081732805440493 1495.8904629561266 4.602872699975206 -0.0008001408405570072 5.365628205980704 70.16915296753574
3.41583778695795 1495.040158727718 8.540769596433677 -0.0022040179626417133 5.812906211994207 73.1280813050042
