Amp_5007 mu_5007 sigma_oiii Amp_hb sigma_hb slope y-int Hbeta_Flux OIII4960_Flux OIII5007_Flux
6.236904422759686 4980.173312231744 32.466525487802286 -1.3972935622894562 42.517063578583716 0.00047641810163231865 -0.11145563218583487 -148.91582603384845 169.18956814400943 507.5687044320283
6.429153591599913 4983.040095336264 31.480246616564173 -0.6497067031554917 5.725210974420314 0.0007184132647845452 -0.11013275756866697 -9.323925113470885 169.10661896225506 507.3198568867652
5.6207675771811845 4985.7362191911725 33.484284590359096 -3.6238738341465027 11.493293740035607 -4.91095516565969e-05 -0.3294325443329734 -104.40168540362426 157.255314378825 471.76594313647496
9.009906297164589 4983.262425662265 25.449986522072276 -1.5377994756472613 27.265794914728417 -0.00020873586017433826 -0.2904539658600806 -105.10123188944539 191.59162038615332 574.77486115846
6.892048615976119 4988.152276770018 34.10928839543785 -0.7188234729158984 20.43156851497096 0.0011171523163889057 -0.44093380428586326 -36.81407501424059 196.42179284779186 589.2653785433756
7.357871648626508 4994.425353688576 28.172037873782106 -1.8870496701762 10.812245264110393 -0.0005822593107825369 -0.4370666719386951 -51.14334795242331 173.19651566884426 519.5895470065327
5.5365215191629815 4988.346685997881 36.197989687101035 -0.9246013010752743 50.99636313478914 -0.000939054390450393 -0.7684614822053385 -118.19079105149633 167.45191698024797 502.3557509407439
6.728470014962994 4987.701691300983 29.899817880605465 -1.5914937327277867 36.10027128989027 -0.002379917832536765 -0.3133838416319829 -144.01420538786013 168.0945155441804 504.28354663254123
5.826910367342168 4984.740038322894 38.87182198021277 -0.5215062932552399 24.10406545839496 -0.0015448219281638954 -0.5411064262609397 -31.50937478208709 189.2526259404948 567.7578778214843
6.985252106936655 4986.590587537531 33.96842298598956 -0.9828209229105631 20.061830489460192 -0.001478769440128066 -0.4078945010026694 -49.423657821091986 198.25591310555828 594.7677393166748
5.850798166974355 4984.461610805413 36.676280419870665 -0.5722365923231989 21.566658652201347 -0.0009768252775125515 -0.6823033086852983 -30.93487920737571 179.29537245011286 537.8861173503386
5.498940687580077 4990.313981137847 40.05158855957707 -0.27292572623030187 0.4305349494018387 0.0002410633520455146 -0.3788721625414203 -0.29453900853723874 184.0210315728371 552.0630947185113
6.138733474771323 4986.547515921917 38.254152291856734 -1.1355319515723838 31.90653796813687 -0.002067640115081402 -0.3773916866426147 -90.81738162828907 196.21221478181675 588.6366443454503
5.834178433898916 4982.93942969601 43.79408522637519 -0.5734229312014427 3.1030978843065213 -0.001938480288536275 -0.7636688341039737 -4.460262980483155 213.48326989638014 640.4498096891404
7.179253240969436 4986.224194746509 33.43857308239643 -0.5983315199686221 54.772370474314684 -0.0012258700409854668 -0.5374763900740182 -82.14731124814487 200.58372348469834 601.751170454095
6.348538507561371 4983.597979179853 32.35731689877766 11.746619503728455 2.674069833684406 -9.893040731197641e-05 -0.34920660688185895 78.73640475279227 171.6385906975083 514.9157720925249
5.613619973730518 4989.99376761885 45.90472815974939 19.34850429563371 4.617971632760758 -0.000268888649326415 -0.9870046397830432 223.96935186633394 215.3124328553148 645.9372985659444
5.787507593637325 4978.557458024913 34.07515493638864 -2.2256093180387433 74.92496503011796 -0.0003228639450534212 0.49233459655458633 -417.9895401333818 164.77756945213252 494.33270835639763
5.291491490377609 4981.693035574615 42.47902319491901 -1.5224178311261325 11.414910961612243 -0.001338818795866564 -0.525760637568707 -43.56084787801603 187.8111202196021 563.4333606588062
6.487235768585381 4988.075657493089 32.903154540287176 -2.134869709615012 15.37800575878778 -0.0010423741607220142 -0.26790067200405876 -82.29270323437834 178.34703708538194 535.0411112561458
5.119244190877997 4993.410808204348 49.69755011460599 -2.5893917731713385 12.947002681723369 -0.0005451018691112288 -0.34959997800726816 -84.03436757203976 212.57368732561406 637.7210619768422
6.9791794224042745 4982.925598254969 34.8643839224965 -0.682478187648074 47.813120020086956 -0.0007849470110607376 -0.6472158518852945 -81.79481869977198 203.30826688499587 609.9248006549875
6.5439215898035625 4994.0007992009605 28.113588378510123 0.016490466333620946 36.14303578673339 -0.0012360292397866103 -0.44643102582556565 1.49398934160663 153.71740641433254 461.15221924299766
5.986912296172742 4986.0548141560785 42.0924175257958 -2.3453074252033383 20.532391965797526 -0.0010887792737919993 -0.5915252121398424 -120.70611138562431 210.55979310026763 631.6793793008029
5.780428514299022 4990.495262548042 39.581562208097395 -1.1927793601876395 63.73423497047647 -0.0012673227430286523 -0.4295058877278398 -190.5560872957315 191.170838546669 573.512515640007
5.8164634295118285 4987.35093450142 40.314934520810105 9.192444745599571 0.24184726993836492 -0.002270045013211768 -0.6704342734991008 5.572654930295876 195.9267073819148 587.7801221457444
6.000334667953593 4989.2603166679 31.69008286719241 -1.1859416820694806 37.805689600048865 -0.000621713140334094 -0.3548041002412151 -112.38553875754505 158.87937695899157 476.6381308769747
7.557428797596711 4982.536283100577 28.26795021969119 -1.4751383569132857 32.996118368576134 0.000861199606100128 -0.1459856982104159 -122.00722316461417 178.49952364400338 535.4985709320101
6.095538021063792 4984.577851449734 30.347763680075985 -2.2439184174689144 26.771101519916176 -0.0008130823189947201 -0.18017903864159168 -150.57859421674428 154.56366869247458 463.69100607742365
5.710495700984489 4986.510930080102 35.77114127813025 -0.20086133273407614 17.641356194296804 -0.00043229782401263026 -0.4123551018923065 -8.882152858948464 170.67711172196425 512.0313351658929
5.371778828734382 4994.651841600397 33.91360530478667 -0.3545605478291951 3.220741648639569 0.0003383488635523707 -0.3175582985745335 -2.8624389528451935 152.21616085998994 456.6484825799698
5.1820973040696945 4986.214150089065 36.41442685775638 -2.0725826835733354 27.74059287459697 -0.002289779494778907 -0.2301618735448557 -144.11777153851418 157.66951137137042 473.0085341141112
6.199280640480317 4978.125910705095 33.58545812419657 -1.5136324640172707 42.37531636284424 0.0008136467374455884 -0.2697830412037465 -160.7767781726776 173.9647484355287 521.8942453065861
6.35497449963351 4985.062599774798 30.940523727466168 -1.151409436260709 9.318464377708198 0.0003466816888315811 -0.10999097890736997 -26.894536736382385 164.28963031569324 492.86889094707976
4.780656540678265 4982.841649844526 44.35614320462644 -0.045583199527165164 5.675740505154033 -0.00044473767941906865 -0.5245336356448076 -0.6485108864633651 177.17808360404413 531.5342508121324
8.808931718762281 4993.545504795175 24.552229909082367 -0.2885254248032951 30.27303051079287 -0.00014431163796218486 -0.47831828158277034 -21.894242393713103 180.71028269622576 542.1308480886773
7.169834457596081 4986.953609957935 33.48902816160744 -0.052598584897746825 40.22893130391435 0.001092110386125732 -0.7108152255575485 -5.303987475093815 200.62283013546795 601.8684904064038
