A mu sigma m b halpha_flux
5.525125036452812 6573.845491963552 20.795632976867523 0.0008532722179635424 -0.2500915632927366 288.00775965324794
2.5635179583687817 6570.992676162471 40.04123039953334 0.0009718977530603736 -0.1893303636885224 257.29640162757005
3.0886151373480053 6568.104294757093 33.60167085534048 -0.0014267360893309821 -0.22988227040147177 260.1444728785312
4.550854729445264 6572.833454537404 23.547548088408508 0.0010416968244459385 0.23593194856945532 268.6139721193332
3.1460178778286676 6572.249991430181 24.61062765769586 0.0008160908490667659 0.17010008799967619 194.07688379829543
4.38612434485418 6568.663210104564 28.011869534569787 -0.00029511778997907403 -0.08288359381273952 307.97323058068736
2.4543676658917546 6566.475575879503 44.43082849117245 -0.0016814861076996715 -0.43738269883501246 273.3467826668696
3.780048412117084 6566.896932135216 28.724929196507986 0.0012121081625395577 -0.33202350441104356 272.1737663106959
4.161255240937934 6571.8215185167055 27.60698075604197 0.0008835094134113451 0.050440297189778605 287.9606875509798
2.2868726075754333 6565.452433662358 42.03969146400824 -0.001112554672705126 -0.18071693933712799 240.98578557084406
4.207623816842507 6567.729564310297 34.06195847027946 -0.0008349354892484876 -0.45181876395038045 359.2497329779978
3.736261343009093 6561.462099098957 19.801167992875577 -0.00026946133182625357 0.25703950363979855 185.44622155306726
3.311050677755385 6568.9932372349285 35.4218889348268 0.0017251522947790655 -0.25468966866969844 293.9865617828685
1.5110282745601165 6566.412634005133 30.16463232329852 0.0005272222305292146 0.20537986103667516 114.25114501864763
4.240112263931914 6568.729526781374 25.472991262734137 -0.0013869124669969226 -0.03194949891959318 270.7367655879114
4.213425204665631 6563.759562139121 22.481676452054614 -6.165426877710318e-05 -0.3672554978645952 237.4400179166483
3.9895380536714957 6572.484229501374 22.669527187111633 0.0009568632824109309 0.08333738934446469 226.70182082660398
2.1454853650226817 6566.49680363372 30.41885744786881 0.00021176133702834076 -0.5281236791085986 163.59061618999897
3.527730196885159 6566.265357268409 26.681719845592735 -0.00032393842375535954 0.08614932360230348 235.938664383765
3.1609773100491867 6565.679063084124 10.685193355481218 -0.0013278255588717747 -0.2835432200096785 84.66300868430882
3.921336756346597 6567.003471732502 24.702040168285883 0.0005691759184896106 -0.07140730687420638 242.80459311351962
4.337075592028952 6571.665316303932 30.829490777026592 -0.00019010722939429817 -0.431143155540998 335.1608453964297
3.3703414113342296 6571.618193635345 19.003506395685804 0.002181707417788755 -0.32353675544763216 160.54529116714986
2.717937911665781 6560.8052924610765 36.794367438252586 0.0022453725965389526 0.022934351884976334 250.6748748103574
3.112368351275772 6563.077181015632 40.654697632858955 0.0006755701210343986 -0.2901890750566424 317.16967706675257
3.6620980278390887 6568.569790205558 29.907120935646407 0.001618641322602363 -0.061325787722890795 274.53296874567746
3.0139537134578567 6567.962606423154 26.948990289484144 -0.0016952515962964528 -0.2479420563794221 203.5958918047002
4.055299735104008 6572.326130271762 27.77134660099911 0.00048352983463583507 -0.21707200256632744 282.2993200951002
4.646653955346496 6566.820368984026 31.93665241216416 -0.0011929003732553938 -0.5362574721155265 371.9800571205033
4.465778998745927 6564.924767130652 30.870943747273028 0.001117721682446979 -0.3609715515402636 345.57082322614525
4.3262185252244025 6564.023583410547 27.250290459652838 -8.408325054102715e-05 -0.14388531588521514 295.5081905223714
2.9126134996941486 6563.6231294673225 31.897631035581757 0.0009173980362528044 -0.5298770212683946 232.87947988118236
4.734559528877863 6573.111325474793 24.659226806662964 0.00038755993032635403 -0.2535790975183227 292.6502980199722
3.688787930673901 6573.797942696972 33.060966269627365 0.00039946378655748426 -0.21454240925207094 305.6955839052761
3.183376764209317 6570.0030929144295 32.520302477860255 -0.002196667201103901 -0.19569714341191113 259.49712617301026
4.259260090108535 6572.195130644544 23.846507871876263 0.0013912116039611596 -0.0655613675603993 254.5944219422896
2.916530820050209 6571.078825206894 25.582639938266023 0.0005151029115143699 0.07110497294795004 187.02594711977355
4.5976105609227105 6566.172883374298 22.071972497491757 -0.0004312722365151186 0.04885514267417579 254.36846090304567
5.387609201842055 6566.635322689777 28.39679858786962 -0.001067605387590132 -0.13847127884041324 383.4911988293543
3.386343655034135 6566.602916595054 30.776670812121054 0.0014434274540911722 -0.43798105206711196 261.24176114607207
4.183934453416379 6565.667204608173 24.44990561651354 0.0010676355625772547 -0.038627936136330476 256.4200575300623
4.121246637414112 6566.308141701973 27.04702735564041 5.595871310793023e-05 -0.07454954457880819 279.4075133608732
3.0159969256212444 6568.827469663418 27.16917580574096 -0.0024402405533122816 -0.17778631697368458 205.39851183315076
2.112475753905336 6560.38261251074 26.23039225499439 0.00041447521981074803 -0.037087366724427195 138.8949489092632
2.7668320866988827 6570.163531413798 29.862719505035777 0.0006288142157899787 0.024015196608111133 207.11048836308007
1.744589636958119 6569.609971371818 31.70807803509907 -0.0003607935224362042 0.26973444432832705 138.66062101071435
4.360394678527349 6573.74600870018 28.532636529304483 -0.0019004610148893966 -0.517655254026336 311.85853843704933
3.188795272258952 6554.031379559907 23.614725997290662 0.00235387158331145 -0.3189393330584083 188.75544236644566
4.6424505604850035 6571.026458008235 22.027164059260457 0.0008006440377384172 -0.001937282076242386 256.32785782923395
3.4205008132233026 6569.650809044417 28.286949271850165 -0.00024214421009734113 -0.40764455663551147 242.53015471463758
4.336629617179528 6566.42261017076 28.90827133268731 0.0006185382703262963 0.27822043502051036 314.2421142142333
3.0362886375509373 6563.636453416581 24.272094917391367 0.0005353950484479444 -0.2034223595604269 184.73119954364356
3.584524763812641 6570.482416039907 27.88574655779019 -0.0006473334775431603 -0.28582435812790274 250.55541617003067
5.338002877852462 6566.527611529489 28.089484396887183 -0.0005488987768678562 -0.3174990777085092 375.84822645796737
3.790399966893794 6569.528211965062 23.01081599917967 0.001692386597485765 -0.19616138445112258 218.62860991751774
2.9587868467172895 6564.362690497996 34.78940171525582 0.0023977417561152382 -0.19793891076563924 258.0183381332403
2.28743144221467 6568.3770284733855 36.647298291758794 0.00014128362533432672 0.06781881708748276 210.12609217663655
3.8073618561303264 6563.90399538417 28.34879231791266 0.0015603654958507417 -0.20543940619991635 270.55069327315516
3.374237714066224 6571.801733329749 30.493262790476464 -0.001115992209708795 -0.4149810210658672 257.9107865654754
5.357080654799333 6573.925996553992 25.22702320017098 0.0013010087896718567 0.004212130289425797 338.75376114014057
5.268391019481522 6566.783392499506 26.846385442540452 -0.0001232072851193645 -0.38430750452884094 354.53062490318
4.5879810746126 6571.312150172819 29.16551517926044 0.0005585992204127622 -0.28610989623063515 335.4140141253698
4.897412275293499 6563.923196573966 22.501647784978402 0.0014342257107089395 -0.2960569420322203 276.2300500352989
3.020810031728002 6566.728181826761 25.543497570819966 0.001181313901075834 -0.36830245958198243 193.4165855514463
4.685894720543151 6568.499459132916 29.120438075024122 -0.00027118996794837013 -0.510972394784142 342.042730839038
2.499509948200919 6571.557493698064 28.9730973363915 -0.000509957792795619 -0.25982286749209926 181.52637256104688
3.6533875010924253 6570.618480810221 31.28661063039355 -0.0010878246667134594 -0.24608649108939107 286.5129063623178
3.5474370873440044 6569.95282607616 26.220805583025083 0.0017263420313880814 0.16424206931097257 233.15818541885957
3.3437669327601647 6571.944039479766 23.437405814481497 0.001293891434411621 0.03195588147940859 196.44250911005372
4.231700191797903 6567.343060814708 15.838778597832519 0.00026787832380718943 0.04722232049272236 168.00666593385142
6.623241293089672 6563.117352220495 22.54668925099401 0.001123891635660798 -0.47343600436936184 374.32022276350403
2.6155775417382343 6569.5295946723845 30.310643360328505 0.0022791091328643507 -0.3715631057183433 198.72508366157032
3.7914974810640314 6572.314561117792 20.73126515204423 0.0017986089995636974 0.0020693469086153216 197.02734822729997
2.431138802905467 6570.0088148213035 28.781529979425706 0.0011435409821073622 0.2858186178482617 175.39352878205867
3.5032169069690626 6572.0820374121195 31.84697059458167 -0.0019867085185518068 -0.3427390585275746 279.6566102505399
2.9573811670904195 6557.276049440096 27.386717726794537 2.7049739112126013e-06 -0.028557926283159424 203.01925168759988
2.9128577992242057 6569.308636669346 28.39722477606153 0.0020048974292375967 0.240975803329952 207.3409656706234
2.105308143787581 6566.809950710774 29.802223322024112 0.0010714866956023066 0.33271175650299706 157.27303558725083
4.240503156095233 6573.560900336369 24.393642216362604 -7.856337020059742e-05 -0.21272403225638253 259.2889294738489
3.791770094668757 6556.836291399489 28.44988331233082 0.000898704332577979 -0.573841826356273 270.403569739369
4.356404302128879 6567.814893749904 23.62790014460413 0.001210271819130489 -0.07600196324557304 258.013980710818
3.4874869954313112 6571.192491580082 28.34502322700435 -0.0008928568217535919 -0.30880963484955576 247.7874738919779
3.451445302917969 6569.099546504741 32.501120876689384 -0.0007254101151016282 0.024345770347818367 281.1831347545881
4.263216184150143 6565.726457923419 19.541193174443052 0.0007175353714515425 -0.48508393223258384 208.82301799413574
3.313640336498149 6570.679946972444 27.012563084882913 -0.001368775106106356 -0.1965028012718208 224.3680928985521
3.268386025824356 6566.70479564589 26.21756951157068 0.0011767311810211274 -0.0005678519167995333 214.7908156951232
4.238961211461388 6569.317948109067 24.515738238757535 0.0008303288814140858 -0.28665016533077275 260.4919773353276
