A mu sigma m b CIII_flux
3.5029424296782357 1906.1162999338599 9.2823734187011 -0.0022297912830092606 3.4993114117091584 81.50457169835921
3.7315771848008072 1906.4987212114527 11.19609901543529 -0.004063591315082169 3.452362760850871 104.72469251123043
4.175060519742545 1907.495401203652 8.919633799957627 -0.0056300357180048355 3.2783867809160703 93.34686434160795
5.256681282025271 1908.223356078025 5.746825521497385 -0.0014540776714108907 3.6153731728879217 75.72331044862582
4.074488064566386 1906.7496252341193 8.262817798853261 -0.004202170882505286 3.5940163427630067 84.39003373429708
4.656828802003709 1907.8621618198667 5.701083084307177 -0.007161816435724501 3.8295273494069386 66.54839362451906
3.434464932184468 1904.9037168830573 11.155304527851726 -0.002151029454252182 3.2108676870197495 96.03520130830378
4.530981064302547 1906.3853527145975 9.113300024552123 0.0008840186701189875 3.3720133823864216 103.50417058578911
3.100755492776857 1905.7368858770421 8.969770942014659 -0.003951454582908502 3.5854982285208705 69.7170189367131
4.211825845760285 1906.2250817032077 9.702166826639662 -0.0027956929601426414 3.347421294021529 102.43044923491198
4.687567968631347 1906.5079016592686 6.843458064019883 -0.004520224434822052 3.6060534002453433 80.41056661954221
4.129121041423887 1907.0010732538997 8.19891739135792 -0.0009400363997482913 3.4391122448092535 84.86020153964772
4.022078439088672 1907.028067813525 9.220300294152098 -0.005057387966657477 3.5156913121699973 92.95773558449561
3.264508660319688 1908.4173758988218 9.763078402305855 -0.011738811468953492 3.672892782952127 79.89038906489668
3.419723326474894 1907.230181939113 8.17604574531332 -0.004154958384432436 3.582022351888797 70.0848612121017
4.363539024024673 1908.3905393937794 9.292716960956838 -0.007581749429105812 3.5580110282569715 101.64160353610268
3.8756343949007563 1905.7204167721488 9.724032876017947 -0.0030025897835309397 3.4189874690719226 94.46678911425185
4.0245519036992725 1907.5164768022523 7.007159999579143 -0.00245487226732466 3.8163223147473997 70.68861963553952
3.6406142362904648 1906.3656850128086 10.1052247988478 0.0007528567474230994 3.5360495230922275 92.21691224751075
3.447368454110232 1906.9699279164297 10.40308466147436 -0.00488335392242742 3.463947696349524 89.89587629397812
3.9525125628498863 1906.9580853947878 10.287015508995545 -0.002912360960282776 3.436358427950958 101.91839780086264
3.6216345326058255 1906.2148189367613 8.494752717765971 -0.00034534203062873566 3.8118120277993413 77.11614261003243
3.7977477888529365 1907.1083640082968 8.120997544318904 -0.002776297742593139 3.659144547793065 77.30817710317194
3.4121705017142463 1909.5320983629833 11.823318891052828 -0.005740120817954062 3.429562848176205 101.12535555724058
3.910667969866548 1908.3557913005209 8.582286236253832 -0.00319956030667525 3.5020572746995353 84.12864101185866
