A mu sigma m b NIII_flux
1.227933009726242 1738.9048883716473 15.122324424331518 -0.005855055960888277 4.416076107081487 46.54608512725435
1.1308397627108808 1739.5248048084202 18.558063447558304 -0.004428203109031512 4.349578373401878 52.60459243450732
2.3383434904922993 1738.427559687766 13.57431536430857 -0.004005775274781819 4.215095156138947 79.56392072076439
1.5135381076002052 1739.0649072253623 19.208458751902302 -0.004046916895393763 4.165234804224094 72.87453784045297
0.9233045749485643 1737.119678931004 12.379582068024327 -0.006021921658190947 4.44241806671108 28.651073904366793
1.456494893255879 1739.0963353538893 11.821548397946303 -0.004449073406232427 4.445171029241611 43.15918797741994
1.0244448885161663 1739.159644136809 27.61127395660079 -0.0038620456728800582 4.198498936719306 70.90306006622416
1.5648086916711008 1738.9900078422322 18.264435815273654 -0.0039703865526622755 4.274894296406085 71.64030817553457
0.9622986279769425 1740.778169002952 16.51197113896135 -0.00473562635648025 4.426535424704629 39.82893755013568
1.4797848565792617 1744.1395624170218 17.19841452287118 -0.003701261236792312 4.056343512567177 63.79357270056408
0.7719531905105311 1737.95305447778 26.101158104102332 -0.0062101816419044605 4.538588592672987 50.50573294514421
1.2630229256912957 1743.5210803979876 11.096560959791871 -0.0060279649191863904 4.525258858534164 35.13092388815104
1.7549072992653632 1742.0067949791433 16.523904498549776 -0.0035836972937923583 4.145732122451838 72.68700772374848
1.6480901616615036 1739.2636737521375 18.103060520866997 -0.004446865253198662 4.380345573503081 74.78644757928878
1.46682308812329 1742.461147367205 14.892251367876257 -0.0047965320454143945 4.273318572116039 54.755535358538275
1.2182449984971444 1739.5825322451171 13.817082853293321 -0.004796865181756066 4.46172599627013 42.19305124266992
1.22920586289199 1737.6721316291414 19.63567846037752 -0.005583559498273705 4.545597287063306 60.500709679282544
1.8830596788600586 1737.5556008945455 15.156340463714766 -0.0034100643059858946 4.229647780021491 71.53990691981302
0.8198173842850618 1737.6512363089578 9.035209366627228 -0.005776226650670652 4.5691977096583605 18.567151373283277
1.1877726772360875 1739.404875977897 13.674803986404697 -0.004493082988350982 4.350173669789109 40.714056492750466
1.5518048319881002 1739.0639288015693 15.099150962665396 -0.00521218947584152 4.464033370250392 58.73264523179827
1.8372074202130815 1740.9259039338365 17.837818329499026 -0.0025747551433888036 4.132680726570662 82.1466507946768
1.6600482380862327 1739.4999853685117 19.37552991824415 -0.004288141607053459 4.136531301419787 80.62397966543728
1.837369779953593 1738.2510327019143 15.536558377233778 -0.003982646228445575 4.284456244551766 71.55522051483129
1.3750688540840341 1739.0671385363241 20.168454355146626 -0.005654318328719359 4.335955360848718 69.51635557622892
0.4776798757285081 1738.8234642219247 39.80410805283143 -0.004205310676572451 4.464308063008522 47.66008097469216
1.7196884527871663 1737.978548082902 17.27831666249375 -0.0030603742766171283 4.219399105625805 74.48025217630928
1.4079687492566655 1744.1947134133206 16.497674123927425 -0.0043874593879609574 4.264876856642123 58.224486957203275
1.5494029560726397 1741.9486802032206 10.702847646408573 -0.004314057659994237 4.364874901013449 41.56747629018913
2.395275561179791 1749.860427909197 7.827916272251477 -0.004849358938942448 4.221796814319713 46.99932161368935
