A mu sigma m b MgII_flux
1.9098322983785367 2797.061426271987 4.584834443969594 -0.001231415668574231 1.1480076894127458 21.94870118805308
0.6124285415694327 2805.9186363560916 69.92157700007029 -0.0010516332942846556 1.044127416815007 107.33875933956799
0.5837166823421314 2802.136065843333 66.05833155434559 -0.000809886677447081 1.0771554565704056 96.65395730219187
0.5149646648741792 2806.6410206943456 38.74086891364875 -0.0009078392805157637 1.0850941130691178 50.00768170517528
0.520131093064286 2792.8276144503034 46.146265604591235 -0.0005330597542789092 1.1432775455908353 60.16436148507237
0.6519203970929218 2796.943379491919 8.869416796876827 -0.0008277858559235323 1.2273750395154752 14.49371000332259
1.070776299800006 2793.379570610646 7.556726824463991 -0.0006301646207409757 1.3812489486582247 20.282543077552287
1.3863842933349522 2799.016783422878 5.388142904288388 -0.0004611363193679039 1.0938106492327533 18.72460518657718
0.6938861062017454 2799.4481575820023 55.352460588431384 -0.000743762899123865 1.101989649945507 96.27533914867121
1.6515212751147756 2797.3799338092645 5.208653528687975 -0.0013257520951579609 1.2023500098926714 21.562523051389633
0.4201247753378542 2801.6124402109645 50.68977495084782 -0.0005822558131002492 1.109524681262484 53.381231720344
1.0959664607957975 2790.342625101308 7.690772210723818 -0.0008417441152997515 1.2701355500312117 21.127939590890712
1.44380785723167 2795.727456042614 5.9460828891275 -0.0007220374634535783 1.2006002880124416 21.51940673331109
1.8599575057037598 2794.334561906586 3.975030619608659 -0.0008616076237970117 1.1989956369505632 18.532475497216915
0.7897362716833121 2797.292319258687 12.023756905417997 -0.0011263290131641721 1.180703053030851 23.80193179964884
1.6082356041398147 2799.8932889421876 4.337704965875359 -0.00033383344961111804 1.1594984012304304 17.486368101559034
0.5134120923980474 2789.1742676911467 58.197477536267556 -0.0018877281309524698 1.1406920639937157 74.89626991683528
0.10883230038581415 2800.164499405501 7.3561619680633346 -0.000684273401023775 1.2201846345614449 2.0067765898098964
1.2308324035908709 2796.1501000568933 7.675620103699167 -0.0012968012803422102 1.1880367240643932 23.681124827832427
1.3852124697106853 2797.449804850728 7.103146437652599 -0.0014520625513525067 1.2410298025729132 24.66363557584476
0.7917194233991044 2796.994074761304 7.640004026084132 -0.0006206172604975857 1.1886563941282065 15.161941662868287
1.6509483605973871 2797.6829513230628 4.192241163257224 -0.000482205455050302 1.194474223995714 17.34880962916244
0.37629731611357664 2804.3642586409323 43.16212600713959 -0.0007313410894140661 1.144404572215146 40.712135494637096
0.547948122926122 2797.12134874191 63.3969999652119 -0.00014092392414218318 1.0745425504457322 87.07592259995646
1.15552674709335 2797.9974763771247 3.9293039260149922 -0.0005884786025887761 1.1570804333279787 11.38113458267816
0.7223671208684375 2804.930667666038 71.88150405430834 -0.0004381166485259458 1.032023147929324 130.1562598859029
0.7614450781467098 2807.5214972279146 41.697993907401454 -0.000955710943993529 1.1066541091458566 79.58728314640751
0.3196436260137218 2791.7329133044686 45.33582651198377 -0.0007868851261624675 1.1495266186397934 36.324322305566966
0.6538077177780366 2806.702520343153 57.53932563631035 -0.0009529935153415924 1.0906464478077453 94.29849134794348
0.3710516217586972 2793.044456151256 47.211256463262124 -0.0003041338341782955 1.2289616892578932 43.91064606722561
0.5043804923654713 2794.5448109798513 17.10522541015125 -0.00024053980802923283 1.1215551601991107 21.62604075384805
0.3781053401819806 2803.797390321772 14.77011765609919 -0.0010392912241107787 1.1183470761161458 13.998667564810978
1.1184008302592567 2797.1654441953633 8.650776264681534 -0.0014240087912877869 1.1817322176190972 24.251717183426802
0.5711452238067883 2798.5888940310624 54.81593535840342 -0.0006524576138580209 1.17235114534913 78.47716626312574
0.5834746258802187 2803.42924962706 71.12281270761784 -0.0008783991852787814 1.0607708927362842 104.02095384417206
0.7871155394484273 2805.819279445802 40.40887182549364 -0.0010332993269497517 1.0575800956867525 79.72694925546817
0.44699692193227164 2793.193204667243 45.53113731799909 -0.000902734843330199 1.1724550320901308 51.015596072549265
0.2396604627284058 2790.19506780334 8.05882072321756 -0.0001417136193179046 1.275725827599956 4.841253480649253
0.7585985340647177 2798.3141567215325 9.934042647908429 -0.0007829977105892889 1.264654598662827 18.889825822564422
1.490720471801899 2799.5120547746483 7.727973862164852 -1.630296773879648e-05 1.0310978173153469 28.876981477839262
1.0133899515552047 2799.1811107689423 60.48809346358309 -0.0007227459240312996 0.9207280667308485 153.65136541317827
1.642084142149585 2797.300271256522 5.2631756682314865 -0.0013155826458442546 1.2024121452595342 21.663728631254475
0.503103060874514 2806.192420707038 68.81869588009873 -0.0008827972400295972 1.0348689479753883 86.78673142348048
1.0389688172948817 2791.30133130667 10.335630695773983 -0.0007034976775063304 1.2495926366509007 26.91717205100331
1.2646630393342362 2794.1143112176032 7.443690249330115 -0.0009088738721985828 1.2048971371285382 23.59679682260781
1.8599575057037598 2794.334561906586 3.975030619608659 -0.0008616076237970117 1.1989956369505632 18.532475497216915
0.9204977168600494 2798.044298945504 11.759217991281236 -0.0011445952167116733 1.1490576907666519 27.13257993648126
1.528272797457719 2798.7018454679173 4.8582372896955786 -0.00040588634679453476 1.173146584966354 18.610992763076922
0.7181135040822872 2795.542112547874 44.69401499477212 -0.0011563688494898889 1.1683909000015578 80.45117626315856
0.8853138994378474 2795.7664494977303 6.971117483493034 -0.0008009668744295042 1.265516665478108 15.469975246896412
1.3057173188661317 2796.558420673298 6.031019738142735 -0.0009074587591027212 1.2070340178446952 19.739213689239673
1.5270136468214217 2797.4402967847714 3.8506388731127075 -0.0015580929193349479 1.3188624896120182 14.738919380285992
0.5135565780054689 2802.631445408641 11.832724700982865 -0.0008090548879574372 1.1915616809963434 15.2322125391243
1.6147463677285303 2798.5224994775804 3.976613405453625 -0.0008027397725281687 1.2071409313089188 16.095616754021446
0.5111262209119817 2805.853357693627 37.16778524580804 -0.0012489224182814593 1.1736956178167455 47.619494211648735
0.6932368623766902 2797.593715922948 48.37848650442031 -0.0003787029155310589 1.0536410434830066 84.06667289591435
1.5497893435156438 2798.578195918859 5.050834967413688 -0.0010402554184565807 1.1130326318361266 19.621209866443138
0.738253191202624 2805.3032638532977 72.72076773770262 -0.00043670495052564756 1.025956405370198 134.571694920484
0.7049060564146208 2802.4185201502987 59.555511020502905 -0.0010636383933338115 1.0852200806344425 105.23086289319117
0.5213077487737614 2798.736599462698 65.25994787023028 -0.0011463247660347035 1.0906241910396983 85.27678859981918
0.7897030291063326 2801.085743178955 46.32895884843835 -0.001151619863757203 1.1360646386947508 91.70780069021484
0.6279969013074319 2793.4359584106605 28.310322775925492 -0.0002996813519430426 1.2046932724757362 44.564830181460444
