wave flux fluxerr
2008.3397028455718 2.6992363794368175e-20 3.6302775785884246e-21
2019.611511504748 1.8452483786005425e-20 3.5586687419631215e-21
2030.8273593352299 2.7272598123703105e-20 3.517998121498324e-21
2041.9879038505562 2.817505781370218e-20 3.48135455527819e-21
2053.0937591703178 2.800249328244746e-20 3.513124768494567e-21
2064.145490470531 3.3268473295861343e-20 3.519359535890077e-21
2075.1438203294224 2.891527506600688e-20 3.491326312660191e-21
2086.089387985815 3.104250786646929e-20 3.5561568241564804e-21
2096.9828273257094 2.9429356342015e-20 3.563346336944063e-21
2107.8247666957454 2.3580672729198918e-20 3.5026940959575274e-21
2118.6158287361045 2.3337651826537056e-20 3.52346363955389e-21
2129.356516262515 2.1962588554276436e-20 3.50021250957092e-21
2140.047220998666 2.4584502832449614e-20 3.342149212186032e-21
2150.688842966022 2.592010863516782e-20 3.3389016239224514e-21
2161.281510299228 2.3195878758326843e-20 3.4515025333216e-21
2171.8261925628535 1.8195440633937264e-20 3.3527784577423616e-21
2182.3235358223387 2.3370621835153067e-20 3.5544119620851866e-21
2192.773784956856 2.2906434386827602e-20 3.474074235195154e-21
2203.177516258047 2.2479509275797806e-20 3.582344996112564e-21
2213.534947400761 2.0934700282654644e-20 3.568907340512364e-21
2223.8472001906753 2.2000184500192527e-20 3.3704465794186775e-21
2234.114658271131 1.9106783007968154e-20 3.401133216775964e-21
2244.3375254600746 1.7053848731909303e-20 3.494773954709086e-21
2254.5160506551542 2.1510042147588138e-20 3.3658233372919676e-21
2264.6515848136605 2.024134787492069e-20 3.3406837019334774e-21
2274.743966487604 1.7794519347211434e-20 3.3122852869830034e-21
2284.7935530612413 2.0268513589282758e-20 3.263019457886293e-21
2294.8013445221154 1.7344709564363656e-20 3.254377823771199e-21
2304.767528269546 1.412932494973875e-20 3.25649602728843e-21
2315.3258488884867 1.5243570503462985e-20 3.254439565864216e-21
2325.2071548238673 2.1347894592414288e-20 3.2713738836017204e-21
2335.0489764239555 2.026420199512102e-20 3.1743014422873635e-21
2344.8497277405413 1.7850533224409356e-20 3.1675532512139937e-21
2354.6117557325574 2.1208718062541e-20 3.3136306263671664e-21
2364.3347848868834 2.0573691451119742e-20 3.2171198105792536e-21
2374.018719066207 1.8215393770875402e-20 3.328226377773961e-21
2383.665457581352 1.8784436787424488e-20 3.3417976015388158e-21
2393.2729614281498 2.2455568986870936e-20 3.164673279297381e-21
2402.844143879823 2.3661866490591247e-20 3.149681600472247e-21
2412.3775137751068 1.3906672395660292e-20 3.102492980184355e-21
2421.874744678832 1.7039165765481513e-20 3.106026111400636e-21
2431.335343598719 2.8461940151680904e-20 3.1572220734525835e-21
2440.7601951491383 1.8728909470395256e-20 3.024125266289631e-21
2450.1493556064574 1.0725004259274846e-20 3.0840744033853613e-21
2459.503365126257 1.4793448023371762e-20 3.082070494440604e-21
2468.822392487473 1.8447973691833086e-20 3.1672190576436814e-21
2478.107062929072 2.1281205257345047e-20 3.263257420965587e-21
2487.357235750897 1.8557218681602405e-20 3.270860373311646e-21
2496.574036231428 1.853929737852983e-20 3.042827920564246e-21
2505.7566066250893 2.112795265276685e-20 3.204143562558439e-21
2514.9069729889557 1.3287646440937249e-20 3.0782339886623884e-21
2524.0231670080166 1.1199291347438622e-20 3.1199330019634687e-21
2533.1077998788564 1.667198810704603e-20 3.3136225840956175e-21
2542.1595204596956 1.6038421453242267e-20 3.385191145846255e-21
2551.1795156826483 2.215702143956031e-20 3.112652822847196e-21
2560.16821322855 1.867370241881748e-20 3.1384875589465454e-21
2569.1247350456056 1.4811989929461477e-20 3.2238315136148938e-21
2578.0509947885985 1.1635077624674207e-20 3.211096315918872e-21
2586.945923350682 1.4632653711581064e-20 3.0673243665924403e-21
2595.810361332167 1.3512300047432127e-20 2.9916401164087284e-21
2604.6452759997705 1.2514234801721004e-20 3.150070556499517e-21
2613.4492124624976 1.575992793174352e-20 3.2050859606929977e-21
2622.2239073730193 1.3376366159496168e-20 3.1114626175110803e-21
2630.969796278964 1.1973051321115009e-20 3.248671440407768e-21
2639.6854281181395 8.389900052586383e-21 4.252754504872395e-21
2648.372650944435 8.985289242350525e-21 4.107682660076745e-21
2657.031764177431 8.370107657055214e-21 3.0918141653500245e-21
2665.6616920729793 1.0166919588884808e-20 3.0748551585303343e-21
2674.2636459091864 1.4823004466230668e-20 3.258966963831114e-21
2682.8381662263246 9.507916724101435e-21 3.2774629459566625e-21
2691.3849066873663 1.1961894745572906e-20 3.2343968594276022e-21
2699.903728637984 1.7448056372424735e-20 3.16626507838791e-21
2708.3957733717416 1.5233178390218175e-20 3.2058530068210173e-21
2716.8612410561736 1.4905794704348984e-20 3.295860367889576e-21
2725.299524444823 1.563568301800394e-20 3.336830802989917e-21
2733.711147411283 1.867902831475133e-20 3.428399738839712e-21
2742.096824687679 1.347205964174095e-20 3.464749845966948e-21
2750.4567489979177 1.8408132311279048e-20 3.5071848681031556e-21
2758.7906473980092 2.192138847247747e-20 3.609894531258532e-21
2767.098507988834 2.737185102905488e-20 3.528156679499395e-21
2775.381222975325 1.1268967054448441e-20 3.686959785957678e-21
2783.638977916558 1.5413182614400745e-20 3.7204198615864304e-21
2791.871956742234 2.118026026827946e-20 3.5645656918966876e-21
2800.079796885578 2.3259602756479727e-20 3.3423295986353176e-21
2808.2628235905777 1.0770714307232733e-20 3.4205694210411704e-21
2816.421653219086 1.1560455946797511e-20 3.393365611103487e-21
2824.5564628744387 1.5693853395145267e-20 3.3271217098018462e-21
2832.667428107051 2.097264360209468e-20 3.557738792326319e-21
2840.7547229286884 2.431066835000083e-20 3.615035037124942e-21
2848.817960704638 9.188515411110395e-21 3.464935579589243e-21
2856.8576920134587 1.556946525497494e-20 3.5262673299040845e-21
2864.8743000507193 1.1259078522507285e-20 4.452878543975921e-21
2872.8679523926703 1.4070937783131197e-20 4.664195616558765e-21
2880.8388151511886 1.1548964298578844e-20 4.715150539670215e-21
2888.7870529873817 1.2458587266790269e-20 3.605814801455144e-21
2896.7128291249637 1.2780853584838847e-20 3.466951072050055e-21
2904.616305364063 1.707120486798694e-20 3.398150046485861e-21
2912.497139106697 1.980679304554309e-20 3.418262680976573e-21
2920.356010399012 1.8553045824446206e-20 3.663942295844888e-21
2928.1930897114926 1.1080629714598247e-20 3.761987370667052e-21
2936.0085329007557 1.1413175830614193e-20 3.501422159731579e-21
2943.8024944699887 9.8243545525997e-21 3.608550394241704e-21
2951.5751275819307 9.9680639651503e-21 5.242618695954671e-21
2959.3265840717436 1.1921604755191068e-20 5.1310324881122934e-21
2967.0570144593753 1.2347481573801355e-20 3.612337172460352e-21
2974.7665679627885 1.6092503297363657e-20 3.823548882080458e-21
